ZIP,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
04348,197,171,$477 
04349,38,*,*
04350,119,99,$529 
04351,109,90,$469 
04352,100,*,*
04353,104,*,*
04354,71,*,*
04355,101,73,$586 
04357,119,102,$404 
04358,173,147,$544 
04359,15,*,*
04360,40,*,*
04363,78,*,*
04364,183,168,$530 
04401,"1,445","1,279",$581 
04402,*,*,*
04406,37,*,*
04408,12,*,*
04410,52,*,*
04411,73,*,*
04412,326,284,$617 
04413,12,*,*
04414,37,*,*
04415,*,*,*
04416,225,210,$810 
04417,18,*,*
04418,81,*,*
04419,110,*,*
04421,40,29,$945 
04422,64,*,*
04424,92,*,*
04426,197,168,$696 
04427,89,*,*
04428,125,*,*
04429,240,202,$662 
04430,81,68,$788 
04431,*,*,*
04434,59,*,*
04435,49,*,*
04438,65,*,*
04441,104,*,*
04442,42,*,*
04443,77,*,*
04444,338,272,$589 
04448,31,*,*
04449,44,*,*
04450,36,*,*
04451,*,*,*
04453,25,*,*
04454,*,*,*
04455,38,*,*
04456,112,*,*
04457,246,226,$661 
04459,28,*,*
04460,57,*,*
04461,82,*,*
04462,218,197,$817 
04463,93,*,*
04464,27,*,*
04468,245,214,$604 
04469,*,*,*
04471,17,*,*
04472,116,*,*
04473,151,129,$541 
04474,191,167,$592 
04475,13,*,*
04476,94,*,*
04478,35,*,*
04479,55,*,*
04481,27,*,*
04485,18,*,*
04487,28,*,*
04488,55,43,$660 
04489,*,*,*
04490,20,*,*
04491,*,*,*
04492,*,*,*
04493,73,*,*
04495,17,*,*
04496,120,98,$637 
04497,16,*,*
04530,515,431,$440 
04535,68,*,*
04537,196,175,$478 
04538,144,113,$550 
04539,110,90,$519 
04541,*,*,*
04543,137,124,$465 
04544,47,35,$653 
04547,116,97,$440 
04548,72,58,$471 
04551,84,71,$514 
04553,159,134,$468 
04554,46,*,*
04555,137,118,$438 
04556,84,*,*
04558,56,42,$521 
04562,131,109,$508 
04563,110,83,$466 
04564,50,36,$453 
04568,38,*,*
04571,25,*,*
04572,266,210,$554 
04573,42,*,*
04574,82,*,*
04575,15,*,*
04576,60,45,$535 
04578,222,197,$545 
04579,198,157,$487 
04605,775,690,$790 
04606,94,*,*
04607,78,*,*
04609,540,468,$716 
04611,47,*,*
04612,49,*,*
04613,26,*,*
04614,265,232,$734 
04616,102,90,$791 
04617,72,61,$667 
04619,90,77,$857 
04622,44,*,*
04623,81,*,*
04624,25,*,*
04625,*,*,*
04626,71,*,*
04627,207,186,$714 
04628,33,*,*
04629,12,*,*
04630,54,*,*
04631,77,*,*
04634,145,132,$747 
04635,13,*,*
04640,135,118,$825 
04642,25,*,*
04643,47,*,*
04644,*,*,*
04645,15,*,*
04646,22,*,*
04648,46,*,*
04649,116,102,$735 
04650,28,*,*
04652,62,*,*
04653,63,*,*
04654,108,*,*
04655,43,*,*
04657,12,*,*
04658,104,*,*
04660,125,89,$745 
04662,57,*,*
04664,77,*,*
04666,43,*,*
04667,36,*,*
04668,37,*,*
04669,19,*,*
04671,25,*,*
04672,*,*,*
04673,*,*,*
04674,54,*,*
04675,13,*,*
04676,102,90,$778 
04677,22,*,*
04679,167,153,$757 
04680,92,*,*
04681,105,77,$906 
04684,122,108,$851 
04685,43,*,*
04686,13,*,*
04691,41,*,*
04693,28,*,*
04694,72,*,*
